external relations,freedom and democracy,political system,economy,welfare and quality of life,fabric of society,social groups
6.663140993623529e-06,9.918989007928758e-07,8.792436346993782e-06,0.9998760223388672,5.883090125280432e-06,9.856095857685432e-05,3.1108622806641506e-06
6.156674498924986e-05,3.2161304261535406e-05,0.9996939897537231,9.160312765743583e-05,2.7133359253639355e-05,8.699832687852904e-05,6.496126843558159e-06
0.004577700048685074,0.995213508605957,4.558287764666602e-05,9.445734576729592e-06,3.717000436154194e-05,0.00011101042036898434,5.52595020053559e-06
0.00017336345626972616,2.5874296625261195e-06,8.42511435621418e-05,0.9996126294136047,4.449102925718762e-05,5.4771840950706974e-05,2.793414387269877e-05
0.7818216681480408,5.441036046249792e-05,0.00022553198505192995,0.2173357456922531,0.00023072076146490872,0.00030257413163781166,2.9271821404108778e-05
0.9999663829803467,5.642225005431101e-06,4.337524387665326e-06,3.363306404935429e-06,2.9816856113029644e-06,1.6502142898389138e-05,8.144232879203628e-07
0.9998979568481445,1.0306984222552273e-05,2.3765969672240317e-05,1.0176309842790943e-05,1.4637181266152766e-05,4.1393243009224534e-05,1.739983758852759e-06
0.9999767541885376,2.2565227482118644e-06,2.2704741695633857e-06,6.721676982124336e-06,3.0667351893498562e-06,8.109708687698003e-06,8.523522865289124e-07
0.9888014793395996,0.007663904223591089,8.449814049527049e-05,2.229279198218137e-05,0.0011422015959396958,0.001276776660233736,0.001008935272693634
0.9999725818634033,3.726792783709243e-06,4.9387240323994774e-06,5.9831663747900166e-06,2.9124080356268678e-06,9.065927770279814e-06,7.253879061863699e-07
0.999586284160614,0.000303662964142859,1.463083299313439e-05,3.244059371354524e-06,8.088471076916903e-06,8.267307566711679e-05,1.5140153664106037e-06
9.741090707393596e-07,5.216639237914933e-06,1.554227765154792e-06,4.377486220619176e-06,0.9999570846557617,1.7063399354810826e-05,1.3686358215636574e-05
0.004416650626808405,0.005063483025878668,0.255172461271286,0.525043249130249,0.09498514235019684,0.029796957969665527,0.08552198857069016
0.9999312162399292,1.0740322068159003e-05,1.6653459169901907e-05,5.661965587933082e-06,4.017523679067381e-06,3.068583464482799e-05,9.577693163009826e-07
2.1574409458935406e-07,2.2186814874203264e-07,1.0824464879988227e-05,0.9999806880950928,5.142319423612207e-06,8.355428917639074e-07,2.0562813460855978e-06
0.00031651800964027643,7.644762081326917e-05,0.9991466999053955,5.158226485946216e-05,8.018252992769703e-05,0.0003223707026336342,6.177207524160622e-06
5.0563685363158584e-05,0.00017707532970234752,0.3318236768245697,0.6079598069190979,0.040801964700222015,0.018459832295775414,0.0007270959904417396
1.29172588003712e-06,1.688151496637147e-05,1.1786252798628993e-05,8.703668754606042e-06,2.3779886760166846e-05,0.9999226331710815,1.4904392628523055e-05
0.9999723434448242,4.377799541543936e-06,4.6959535211499315e-06,3.618912614911096e-06,2.1994007965986384e-06,1.2094905287085567e-05,6.502948508568807e-07
0.9999098777770996,3.95882707380224e-05,1.446762507839594e-05,5.3591261348628905e-06,5.492506261361996e-06,2.4093435058603063e-05,1.1407865940782358e-06
0.004416650626808405,0.005063483025878668,0.255172461271286,0.525043249130249,0.09498514235019684,0.029796957969665527,0.08552198857069016
0.004016655031591654,0.9874245524406433,0.0007364812772721052,2.0704252165160142e-05,0.00013762502931058407,0.0075464313849806786,0.00011752802674891427
1.4141892279440071e-05,0.000192062376299873,0.9995493292808533,2.1365169232012704e-05,4.152844121563248e-05,0.00018003523291554302,1.5075279407028574e-06
0.9999624490737915,7.4415388553461526e-06,4.264359631633852e-06,4.929845999868121e-06,3.4811994282790693e-06,1.6659967513987795e-05,7.658485401407233e-07
0.9998898506164551,1.8019216440734453e-05,3.2421292416984215e-05,7.0326041168300435e-06,5.210739800531883e-06,4.603685738402419e-05,1.4166589608066715e-06
2.325277137060766e-06,6.508123988169245e-06,0.019862893968820572,0.9796736836433411,0.0004234557563904673,2.199426671722904e-05,9.143339411821216e-06
0.9457879066467285,0.000731757958419621,0.0014943537535145879,0.00031113895238377154,0.04838470369577408,0.003074533538892865,0.00021563701739069074
4.120627181691816e-07,1.5432868167408742e-05,0.9998998641967773,3.165351154166274e-05,1.4415324585570488e-05,3.509168527671136e-05,3.1632732770958683e-06
0.9999756813049316,2.890085852413904e-06,3.4958238757099025e-06,4.04502998208045e-06,2.3090344711818034e-06,1.0815547284437343e-05,7.502831635974871e-07
4.5648352653415714e-08,1.685401116446883e-06,6.437112006096868e-06,7.670973900530953e-06,0.999972939491272,9.048103493114468e-06,2.2986971544014523e-06
4.4746236937953654e-08,3.749405266262329e-07,8.247508276326698e-07,6.3047573348740116e-06,0.9999865293502808,2.256516836496303e-06,3.757887725441833e-06
0.0007727548363618553,0.9987229704856873,5.8543704653857276e-05,1.2600543414009735e-05,0.00010157486394746229,0.00025581548106856644,7.563990220660344e-05
1.869564403023105e-05,8.799557690508664e-05,0.9992777705192566,3.947309960494749e-05,2.200006929342635e-05,0.000549167045392096,4.911309133603936e-06
4.532958186587166e-08,2.1159712559892796e-06,2.770751507341629e-06,7.329836080316454e-06,0.9999728202819824,7.918672963569406e-06,6.9916709435347e-06
0.0028935184236615896,0.0061977701261639595,0.0005143929156474769,0.010397139936685562,5.7735585869522765e-05,0.9799150824546814,2.4413935534539632e-05
5.90727779581357e-07,1.2328420780249871e-05,0.9999092817306519,3.0907751352060586e-05,1.0532454325584695e-05,3.3282962249359116e-05,3.139632099191658e-06
1.4680147160106571e-06,4.540338807146327e-07,0.0008148567285388708,0.9990496039390564,0.00010224380093859509,1.9857814550050534e-05,1.1501395420054905e-05
0.9999727010726929,4.499093392951181e-06,3.081110662606079e-06,2.698919161048252e-06,2.068857838821714e-06,1.4374188140209299e-05,6.726206152052328e-07
0.9999768733978271,2.7279807000013534e-06,2.590950998637709e-06,5.059568593424046e-06,2.7888797831110423e-06,9.277525350626092e-06,7.125951242414885e-07
